Date,high,low,close,open,volumek,gas,oil,coal,power,stock,pos,neg,trends
2021/10/22,60.53,58.44,58.64,58.51,4.74,219.22,85.53,231.25,153.2,470.9,0.536,0.508,26
2021/10/25,60.11,58.92,59.35,59.51,4.84,223.23,85.99,237.15,143.2,471.4,0,0,35
2021/10/26,60.54,59.14,60.16,59.68,5.47,221.59,86.4,234,142.63,474.6,0.36,0,37
2021/10/27,60.45,59.2,60.27,60,4.64,218.59,84.58,232.85,141.5,472.6,0.505,0.175,24
2021/10/28,59.84,58.32,58.94,59.73,3.46,192.09,84.32,233,140.27,473.5,0.176,0.213,34
2021/10/29,59.87,58.5,59.08,59.3,6.87,165.98,84.38,232.65,151.25,474.3,0.294,0.659,26
2021/11/1,60.78,57,57.29,59.41,4.7,167.47,84.71,136,151,478,0.2,0,30
2021/11/2,60,57.5,59.79,57.7,15.25,173.28,84.72,139.75,153.4,478.4,0.132,0.512,31
2021/11/3,60.67,59.42,60.15,59.86,6.88,196.72,81.99,149.5,153.2,479.8,0.055,0.136,24
2021/11/4,61.76,59.25,60.18,59.76,5.61,189.51,80.54,148,159.62,482.1,0.359,0.059,23
2021/11/5,61.53,59.63,59.73,60.23,8.23,191.43,82.74,148.25,159.32,482.3,0.575,0.737,26
2021/11/8,61.43,60.16,60.96,60.27,10.61,202.9,83.43,157.5,153.03,482.8,0.351,0,26
2021/11/9,61.7,60.23,60.75,60.35,6.8,187.18,84.78,152,152.29,481.6,0.254,0.077,29
2021/11/10,63.58,60.31,63.48,60.45,8.93,179.98,82.64,142.1,148.27,482.6,0.477,0.106,23
2021/11/11,64.22,62.4,64.02,63.12,4.9,193.33,82.87,142,151.48,484.5,0.496,0.362,32
2021/11/12,64.81,63.43,63.58,63.98,4.86,194.05,82.17,139,155.26,486.3,0.489,0.332,19
2021/11/15,67.27,63.94,66.22,63.94,9.55,204.79,82.05,138.65,163.09,487.4,0,0,31
2021/11/16,68.1,66.57,67.83,66.8,8.17,239.91,82.43,141.5,171.78,488.9,0.357,0,38
2021/11/17,68.73,67.1,67.45,68.15,10.94,239.01,80.28,142.95,182.26,489.4,0.298,0.205,45
2021/11/18,69.49,66.62,69.38,67.57,9.09,239.8,81.24,144.75,176.91,487,0.181,0.049,30
2021/11/19,70.1,68.9,69.65,69.47,6.42,219.51,78.89,145.25,174.49,485.9,0.317,0.639,27
2021/11/22,71.48,69.59,70.22,70.09,7.51,211.17,79.7,146.5,175.49,485.4,0,0,32
2021/11/23,70.93,69.1,69.49,70.3,12.72,229.05,82.31,150,173.92,479.4,0.309,0.304,31
2021/11/24,73.48,69.25,73.23,69.93,13.3,235.37,82.25,149.6,180.05,479.7,0.62,0.117,36
2021/11/25,75.37,72.5,74.79,73.58,13.11,233.66,82.22,148,180.05,481.3,0.278,0.161,36
2021/11/26,74.51,70.7,73.12,74.38,7.14,222.08,72.72,148,177.73,463.2,0.809,0.47,29
2021/11/29,76.06,74.2,74.54,74.2,13.08,236.04,73.44,127,176.15,467,0.25,0.052,37
2021/11/30,75.81,73.54,75.73,74.12,14.83,238.31,70.57,111.1,223,463.7,0.417,0.219,40
2021/12/1,78.76,75.6,77.2,75.95,10.85,244.53,68.87,123.1,217.93,470.9,0.492,0.07,52
2021/12/2,80.35,76.5,80.25,76.51,15.68,242.09,69.67,124.25,213.4,465.4,0.213,0.114,36
2021/12/3,80.8,78.38,78.64,80.41,12.64,228.9,69.88,121.5,215.7,461.8,0.784,0.362,33
2021/12/6,82.17,78.74,81.65,79.14,15.71,230.08,73.08,122.2,207.4,469.3,0,0,39
2021/12/7,85.94,82.3,85.34,82.3,19.74,243.98,75.44,129.1,211.24,480.2,0.344,0.064,43
2021/12/8,91.19,85.51,89.41,85.64,27.84,260.33,75.82,134.55,231.13,477.6,0.577,0,37
2021/12/9,90.75,80.4,80.88,90.25,29.01,256.11,74.42,134.9,222.2,476.7,0.378,0.208,39
2021/12/10,84.5,80.48,84.37,81.08,29.31,268.8,75.15,134.9,219.94,475.5,0.762,0.406,36
2021/12/13,87.4,82.2,82.72,84.8,18.39,294.54,74.39,136.5,242.12,473.4,0,0,35
2021/12/14,83.88,78.9,80.12,82.32,21.06,323.4,73.7,140.55,240.98,470.2,0.882,0.086,37
2021/12/15,82.24,80.1,81.19,80.35,28.37,335.06,73.88,141.7,244.11,470.8,0.444,0.129,27
2021/12/16,86.05,81.12,85.71,82.18,34.66,359.48,75.02,147.9,263.08,476.9,0.853,0.756,34
