date,compound,pos,neu,neg,trends
2022/6/2,-0.5655,0.167,3.455,0.378,53
2022/6/3,-0.1967,0.189,3.604,0.208,46
2022/6/6,-0.2023,0.171,0.663,0.167,29
2022/6/7,-0.6473,0.164,3.486,0.35,64
2022/6/8,-0.5415,0.337,1.919,0.744,78
2022/6/9,-1.3768,0.114,2.476,0.41,80
2022/6/10,-3.449,0.558,5.194,1.249,51
2022/6/13,0,0,0,0,43
2022/6/14,-1.1573,0.579,3.741,0.679,54
2022/6/15,1.1272,0.561,4.218,0.221,46
2022/6/16,1.9477,0.656,3.16,0.184,49
2022/6/17,-0.5021,0.462,4.998,0.54,38
2022/6/20,1.1781,0.55,2.241,0.207,48
2022/6/21,2.6015,0.979,3.814,0.208,56
2022/6/22,3.0949,1.051,4.749,0.2,58
2022/6/23,0.7357,0.426,2.348,0.226,58
2022/6/24,2.2053,0.863,4.735,0.402,49
2022/6/27,0,0,0,0,65
2022/6/28,1.9886,0.503,2.383,0.115,59
2022/6/29,0.7764,0.334,1.496,0.17,57
2022/6/30,0.8247,0.629,1.818,0.552,53
2022/7/1,1.6441,0.986,8.459,0.555,42
2022/7/4,0.8176,0.317,0.63,0.053,35
2022/7/5,0.0771,0.208,2.59,0.201,47
2022/7/6,0.6889,0.657,2.05,0.293,48
2022/7/7,1.6409,0.47,3.378,0.152,46
2022/7/8,0.4858,1.004,6.094,0.902,41
2022/7/11,0.8689,0.231,0.769,0,47
2022/7/12,1.6423,0.602,3.25,0.149,36
2022/7/13,0.8072,0.806,4.759,0.436,46
2022/7/14,1.9137,0.638,3.257,0.105,44
2022/7/15,0.7836,0.445,3.145,0.411,28
2022/7/18,-0.8126,0.029,0.778,0.193,41
2022/7/19,0.6024,0.318,2.437,0.245,36
2022/7/20,-1.3777,0.436,2.626,0.937,37
2022/7/21,0.5574,0.148,1.785,0.067,32
2022/7/22,-0.6599,0.507,4.735,0.759,32
2022/7/25,0.7184,0.219,0.781,0,36
2022/7/26,1.8426,0.827,3.739,0.433,33
2022/7/27,-0.9506,0.789,4.197,1.015,30
2022/7/28,0,0,0,0,38
2022/7/29,3.4504,1.013,4.904,0.082,17
2022/8/1,0,0,0,0,33
2022/8/2,0.5676,0.259,1.573,0.168,30
2022/8/3,1.1214,0.513,2.179,0.308,37
2022/8/4,0.6808,0.192,0.712,0.097,36
2022/8/5,2.5212,0.985,2.793,0.223,18
2022/8/8,0,0,0,0,38
2022/8/9,0.0725,0.214,1.536,0.25,37
2022/8/10,0.5937,0.322,1.455,0.222,31
2022/8/11,0.2887,0.301,1.457,0.244,44
2022/8/12,1.1829,0.417,3.39,0.193,24
2022/8/15,0,0,1,0,34
2022/8/16,0.8595,0.207,0.793,0,28
2022/8/17,-0.4784,0.207,3.486,0.308,35
2022/8/18,0.7269,0.151,0.849,0,39
2022/8/19,3.6894,0.896,4.057,0.047,33
2022/8/22,0,0,0,0,36
2022/8/23,1.3703,0.421,2.517,0.062,50
2022/8/24,-1.5908,0.24,1.173,0.588,35
2022/8/25,-0.2535,0.06,1.804,0.136,41
2022/8/26,0.7342,0.614,2.893,0.493,45
2022/8/29,0.4939,0.076,0.924,0,72
2022/8/30,-0.9062,0.066,1.661,0.273,69
2022/8/31,0.2597,0.351,2.427,0.223,58
2022/9/1,0.6145,0.363,2.499,0.138,44
2022/9/2,0.8803,0.767,4.574,0.659,30
2022/9/5,2.4114,1.056,1.687,0.257,17
2022/9/6,1.55,0.505,1.309,0.187,68
2022/9/7,1.6628,0.78,3.743,0.478,55
2022/9/8,1.4195,0.655,3.042,0.304,51
2022/9/9,-0.4543,0.709,3.619,0.673,53
2022/9/12,-0.6908,0.059,0.752,0.189,50
2022/9/13,-0.1208,0.267,1.328,0.405,52
2022/9/14,0.5214,0.714,3.733,0.552,57
2022/9/15,0.1644,0.687,2.776,0.537,36
2022/9/16,-0.3719,0.403,4.038,0.559,37
2022/9/19,0.2023,0.07,0.892,0.038,34
2022/9/20,1.3069,0.392,1.564,0.044,35
2022/9/21,-1.727,0.741,4.999,1.262,54
2022/9/22,1.9426,0.701,3.124,0.175,48
2022/9/23,3.2553,1.692,5.91,0.397,29
2022/9/26,0.8074,0.181,0.819,0,34
2022/9/27,1.7813,1.027,4.604,0.37,47
2022/9/28,0.3028,0.573,2.881,0.546,47
2022/9/29,0.0582,0.819,4.375,0.806,31
2022/9/30,4.4762,1.791,5.532,0.677,40
2022/10/3,0.7269,0.181,0.773,0.046,46
2022/10/4,2.167,0.658,4.257,0.084,44
2022/10/5,-0.245,0.383,3.124,0.491,45
2022/10/6,2.2723,0.561,3.341,0.098,38
2022/10/7,0.9645,1.165,4.056,0.78,54
2022/10/10,0.9081,0.295,0.627,0.078,59
2022/10/11,1.8737,0.735,3.133,0.132,41
2022/10/12,1.3661,0.465,1.46,0.075,60
2022/10/13,1.6641,0.692,3.044,0.264,46
2022/10/14,-0.2884,0.439,4.095,0.466,39
2022/10/17,0,0,0,0,63
